Resource	Type	Space	Sub-Directory	File	To Smooth	To z-std	4D Time Series	Optional: Debugging	Multi-File
alff	alff	functional	func	NIfTI	Yes	Yes			
desc-sm_alff	alff	functional	func	NIfTI		Yes			
desc-sm-zstd_alff	alff	functional	func	NIfTI					
desc-zstd_alff	alff	functional	func	NIfTI					
space-template_alff	alff	template	func	NIfTI	Yes	Yes			
space-template_desc-sm_alff	alff	template	func	NIfTI		Yes			
space-template_desc-sm-zstd_alff	alff	template	func	NIfTI					
space-template_desc-zstd_alff	alff	template	func	NIfTI					
desc-brain_bold	bold	functional	func	NIfTI			Yes	Yes	
desc-cleaned_bold	bold	functional	func	NifTI			Yes	Yes	
desc-mean_bold	bold	functional	func	NIfTI					
desc-motion_bold	bold	functional	func	NIfTI			Yes	Yes	
desc-preproc_bold	bold	functional	func	NIfTI			Yes		
desc-sm_bold	bold	functional	func	NIfTI			Yes	Yes	
space-EPItemplate_bold	bold	EPI template	func	NIfTI			Yes		
space-EPItemplate_desc-brain_bold	bold	EPI template	func	NIfTI			Yes		
space-EPItemplate_desc-cleaned_bold	bold	EPI template	func	NIfTI			Yes		
space-EPItemplate_desc-mean_bold	bold	EPI template	func	NIfTI					
space-EPItemplate_desc-preproc_bold	bold	EPI template	func	NIfTI			Yes		
space-symtemplate_desc-sm_bold	bold	symmetric template	func	NIfTI			Yes	Yes	
space-T1w_desc-mean_bold	bold	T1w	func	NIfTI					
space-template_bold	bold	template	func	NIfTI			Yes		
space-template_desc-brain_bold	bold	template	func	NIfTI			Yes		
space-template_desc-cleaned_bold	bold	template	func	NIfTI			Yes		
space-template_desc-mean_bold	bold	template	func	NIfTI					
space-template_desc-preproc_bold	bold	template	func	NIfTI			Yes		
desc-DualReg_correlations	correlation	template	func	NIfTI					
desc-MeanSCA_correlations	correlation	template	func	NIfTI					
desc-MultReg_correlations	correlation	template	func	NIfTI					
desc-ndmg_correlations	correlation	template	func	NIfTI					
space-template_desc-binarized_degree-centrality	degree-centrality	template	func	NIfTI	Yes	Yes			
space-template_desc-binarized-sm_degree-centrality	degree-centrality	template	func	NIfTI		Yes			
space-template_desc-binarized-sm-zstd_degree-centrality	degree-centrality	template	func	NIfTI					
space-template_desc-binarized-zstd_degree-centrality	degree-centrality	template	func	NIfTI					
space-template_desc-weighted_degree-centrality	degree-centrality	template	func	NIfTI	Yes	Yes			
space-template_desc-weighted-sm_degree-centrality	degree-centrality	template	func	NIfTI		Yes			
space-template_desc-weighted-sm-zstd_degree-centrality	degree-centrality	template	func	NIfTI					
space-template_desc-weighted-zstd_degree-centrality	degree-centrality	template	func	NIfTI					
space-template_desc-binarized_eigen-centrality	eigen-centrality	template	func	NIfTI	Yes	Yes			
space-template_desc-binarized-sm_eigen-centrality	eigen-centrality	template	func	NIfTI		Yes			
space-template_desc-binarized-sm-zstd_eigen-centrality	eigen-centrality	template	func	NIfTI					
space-template_desc-binarized-zstd_eigen-centrality	eigen-centrality	template	func	NIfTI					
space-template_desc-weighted_eigen-centrality	eigen-centrality	template	func	NIfTI	Yes	Yes			
space-template_desc-weighted-sm_eigen-centrality	eigen-centrality	template	func	NIfTI		Yes			
space-template_desc-weighted-sm-zstd_eigen-centrality	eigen-centrality	template	func	NIfTI					
space-template_desc-weighted-zstd_eigen-centrality	eigen-centrality	template	func	NIfTI					
desc-sm_falff	falff	functional	func	NIfTI		Yes			
desc-sm-zstd_falff	falff	functional	func	NIfTI					
desc-zstd_falff	falff	functional	func	NIfTI					
falff	falff	functional	func	NIfTI	Yes	Yes			
space-template_desc-sm_falff	falff	template	func	NIfTI		Yes			
space-template_desc-sm-zstd_falff	falff	template	func	NIfTI					
space-template_desc-zstd_falff	falff	template	func	NIfTI					
space-template_falff	falff	template	func	NIfTI	Yes	Yes			
space-template_desc-binarized_lfcd	lfcd	template	func	NIfTI	Yes	Yes			
space-template_desc-binarized-sm_lfcd	lfcd	template	func	NIfTI		Yes			
space-template_desc-binarized-sm-zstd_lfcd	lfcd	template	func	NIfTI					
space-template_desc-binarized-zstd_lfcd	lfcd	template	func	NIfTI					
space-template_desc-weighted_lfcd	lfcd	template	func	NIfTI	Yes	Yes			
space-template_desc-weighted-sm_lfcd	lfcd	template	func	NIfTI		Yes			
space-template_desc-weighted-sm-zstd_lfcd	lfcd	template	func	NIfTI					
space-template_desc-weighted-zstd_lfcd	lfcd	template	func	NIfTI					
space-EPItemplate_desc-bold_mask	mask	EPI template	func	NIfTI					
